,DriverID,Location,Cluster,Time[Increments of 15]
0,685,30.259 -97.73899999999999,8,1
1,685,30.267 -97.755,8,15
2,685,30.214000000000002 -97.751,1,22
3,1432,30.254 -97.77600000000001,1,5
4,1432,30.209 -97.81,12,52
5,1432,30.203000000000003 -97.66799999999999,3,69
6,3795,30.418000000000003 -97.74799999999999,2,1
7,3795,30.401 -97.723,13,4
8,4430,30.304000000000002 -97.727,5,7
9,3795,30.3 -97.728,5,12
10,3795,30.302 -97.721,5,13
11,3795,30.291 -97.74600000000001,5,74
12,1991,30.26 -97.68799999999999,17,0
13,1991,30.26 -97.72,17,5
14,1991,30.261999999999997 -97.742,8,7
15,1991,30.267 -97.738,8,13
16,1991,30.269000000000002 -97.74600000000001,8,62
17,1991,30.256999999999998 -97.80799999999999,12,63
18,1991,30.268 -97.742,8,69
19,1991,30.203000000000003 -97.667,3,80
20,1991,30.261 -97.76,8,84
21,1991,30.268 -97.743,8,86
22,1991,30.250999999999998 -97.744,8,87
23,1991,30.258000000000003 -97.73899999999999,8,88
24,1991,30.265 -97.73100000000001,8,89
25,4626,30.266 -97.742,8,91
26,3085,30.261999999999997 -97.723,17,3
27,654,30.485 -97.666,4,57
28,654,30.23 -97.712,17,77
29,3802,30.258000000000003 -97.73899999999999,8,0
30,3802,30.203000000000003 -97.66799999999999,3,39
31,3802,30.263 -97.741,8,53
32,3802,30.265 -97.743,8,62
33,3802,30.261 -97.741,8,79
34,311,30.25 -97.794,12,1
35,311,30.208000000000002 -97.79299999999999,12,81
36,1255,30.343000000000004 -97.764,19,4
37,1255,30.375 -97.726,13,58
38,3362,30.28 -97.75399999999999,8,1
39,3362,30.266 -97.74,8,6
40,3362,30.339000000000002 -97.553,9,15
41,2170,30.266 -97.741,8,41
42,2170,30.272 -97.744,8,68
43,2170,30.232 -97.759,1,79
44,4631,30.215999999999998 -97.79700000000001,12,1
45,4631,30.27 -97.74799999999999,8,4
46,4631,30.230999999999998 -97.8,12,6
47,4631,30.252 -97.749,8,11
48,4631,30.264 -97.744,8,85
49,4631,30.199 -97.839,12,87
50,4631,30.204 -97.984,0,90
51,4127,30.288 -97.745,5,1
52,4127,30.265 -97.736,8,12
53,4127,30.230999999999998 -97.781,12,24
54,3767,30.256999999999998 -97.76,8,20
55,3767,30.203000000000003 -97.666,3,61
56,1697,30.272 -97.73100000000001,8,1
57,1697,30.287 -97.74600000000001,5,3
58,1697,30.267 -97.74,8,4
59,1697,30.214000000000002 -97.699,3,6
60,1697,30.276999999999997 -97.751,8,8
61,1697,30.287 -97.743,5,11
62,1697,30.561 -97.681,4,54
63,1697,30.354 -97.727,11,86
64,4073,30.250999999999998 -97.75399999999999,1,7
65,4073,30.218000000000004 -97.738,1,10
66,4019,30.203000000000003 -97.66799999999999,3,2
67,4019,30.261 -97.738,8,5
68,4019,30.26 -97.73899999999999,8,9
69,4019,30.267 -97.74600000000001,8,12
70,4019,30.344 -97.669,11,17
71,4019,30.266 -97.743,8,71
72,1398,30.266 -97.74600000000001,8,2
73,1398,30.229 -97.863,10,57
74,1398,30.285 -97.73200000000001,5,62
75,4117,30.281 -97.741,5,1
76,4117,30.299 -97.742,5,46
77,3901,30.203000000000003 -97.667,3,55
78,4117,30.203000000000003 -97.66799999999999,3,62
79,4117,30.250999999999998 -97.749,8,75
80,942,30.27 -97.736,8,1
81,942,30.203000000000003 -97.667,3,55
82,942,30.26 -97.75,8,59
83,444,30.296 -97.741,5,1
84,444,30.369 -97.721,13,60
85,444,30.203000000000003 -97.667,3,66
86,444,30.33 -97.665,11,84
87,4747,30.357 -97.755,19,2
88,4747,30.284000000000002 -97.74,5,75
89,1078,30.256 -97.736,8,13
90,1078,30.354 -97.756,19,54
91,1078,30.429000000000002 -97.75399999999999,2,57
92,1078,30.459 -97.795,16,63
93,4278,30.245 -97.90799999999999,10,13
94,1249,30.213 -97.9,0,1
95,1249,30.329 -97.708,11,9
96,2229,30.256999999999998 -97.807,12,5
97,4137,30.203000000000003 -97.667,3,56
98,2250,30.24 -97.791,12,4
99,2250,30.27 -97.74,8,11
100,2250,30.284000000000002 -97.835,10,61
101,2250,30.255 -97.74799999999999,8,79
102,416,30.358 -97.73299999999999,19,2
103,3740,30.268 -97.74600000000001,8,58
104,416,30.264 -97.743,8,70
105,2935,30.381999999999998 -97.695,13,3
106,2935,30.234 -97.71600000000001,17,10
107,2935,30.296999999999997 -97.745,5,19
108,4576,30.267 -97.73700000000001,8,19
109,4576,30.217 -97.743,1,62
110,2776,30.319000000000003 -97.704,11,14
111,2776,30.264 -97.771,8,70
112,4775,30.325 -98.029,14,8
113,4775,30.203000000000003 -97.66799999999999,3,44
114,1519,30.261 -97.70700000000001,17,3
115,1519,30.318 -97.726,5,29
116,1519,30.226 -97.741,1,33
117,1519,30.226 -97.662,3,70
118,4481,30.236 -97.792,12,3
119,4481,30.271 -97.75299999999999,8,5
120,4481,30.433000000000003 -97.738,2,39
121,1817,30.203000000000003 -97.667,3,42
122,4481,30.203000000000003 -97.667,3,45
123,4481,30.299 -97.77600000000001,5,89
124,4481,30.284000000000002 -97.719,5,91
125,4481,30.281 -97.759,8,93
126,4847,30.266 -97.74700000000001,8,16
127,4847,30.351 -97.749,19,52
128,1808,30.28 -97.725,5,4
129,4352,30.266 -97.741,8,8
130,4641,30.261999999999997 -97.715,17,3
131,4641,30.265 -97.74700000000001,8,13
132,4641,30.253 -97.764,1,16
133,4641,30.315 -97.73299999999999,5,25
134,4641,30.386999999999997 -97.75299999999999,2,75
135,4641,30.421999999999997 -97.70200000000001,13,79
136,433,30.234 -97.711,17,3
137,433,30.256 -97.757,8,7
138,433,30.241 -97.715,17,12
139,475,30.27 -97.802,12,4
140,475,30.264 -97.743,8,78
141,475,30.305999999999997 -97.749,5,87
142,4642,30.283 -97.744,5,4
143,4642,30.219 -97.751,1,55
144,4642,30.185 -97.663,3,72
145,4642,30.214000000000002 -97.699,3,80
146,719,30.266 -97.74600000000001,8,5
147,4684,30.203000000000003 -97.666,3,6
148,4684,30.259 -97.68700000000001,17,11
149,4684,30.441999999999997 -97.771,16,16
150,4684,30.27 -97.751,8,90
151,3901,30.27 -97.74,8,13
152,3901,30.379 -97.74,2,72
153,610,30.253 -97.764,1,4
154,610,30.256999999999998 -97.72399999999999,17,13
155,610,30.233 -97.77799999999999,12,18
156,610,30.403000000000002 -97.72200000000001,13,58
157,610,30.436 -97.736,2,61
158,610,30.243000000000002 -97.764,1,80
159,3233,30.273000000000003 -97.757,8,4
160,3233,30.243000000000002 -97.73700000000001,1,53
161,3761,30.281999999999996 -97.74,5,56
162,3233,30.265 -97.73899999999999,8,58
163,3233,30.27 -97.743,8,59
164,3233,30.269000000000002 -97.772,8,60
165,3233,30.264 -97.744,8,76
166,3233,30.253 -97.712,17,88
167,3233,30.26 -97.758,8,89
168,4545,30.266 -97.74,8,6
169,4545,30.23 -97.835,12,8
170,4791,30.033 -97.65899999999999,15,11
171,4791,30.229 -97.76700000000001,1,77
172,4691,30.307 -97.726,5,7
173,4691,30.484 -97.79299999999999,16,17
174,4691,30.259 -97.74700000000001,8,66
175,4691,30.296 -97.736,5,75
176,4691,30.264 -97.744,8,80
177,1099,30.255 -97.75299999999999,8,4
178,1099,30.311999999999998 -97.66799999999999,11,36
179,1099,30.395 -97.75299999999999,2,55
180,1321,30.393 -97.848,6,7
181,1321,30.267 -97.73700000000001,8,15
182,1321,30.261999999999997 -97.774,8,22
183,1321,30.27 -97.749,8,69
184,1321,30.266 -97.73899999999999,8,79
185,4764,30.266 -97.736,8,5
186,1185,30.283 -97.708,17,16
187,4764,30.401999999999997 -97.749,2,53
188,1061,30.261999999999997 -97.723,17,16
189,1857,30.093000000000004 -97.87200000000001,0,11
190,1857,30.203000000000003 -97.667,3,34
191,4054,30.483 -97.68700000000001,4,6
192,4054,30.456999999999997 -97.815,16,13
193,4054,30.526999999999997 -97.845,7,15
194,4862,30.272 -97.755,8,93
195,2595,30.31 -97.765,5,21
196,4726,30.252 -97.743,8,6
197,4726,30.435 -97.697,13,15
198,4726,30.453000000000003 -97.824,16,45
199,4726,30.479 -97.835,16,60
200,4229,30.3 -97.77600000000001,5,20
201,4229,30.276999999999997 -97.74,8,64
202,2880,30.177 -97.75299999999999,18,8
203,248,30.293000000000003 -97.744,5,8
204,248,30.241 -97.749,1,75
205,248,30.203000000000003 -97.66799999999999,3,82
206,248,30.203000000000003 -97.66799999999999,3,88
207,2911,30.393 -97.848,6,8
208,1568,30.45 -97.816,16,8
209,1568,30.267 -97.75299999999999,8,18
210,318,30.269000000000002 -97.756,8,6
211,318,30.218000000000004 -97.68700000000001,3,16
212,318,30.338 -97.704,11,20
213,318,30.281999999999996 -97.736,5,29
214,318,30.284000000000002 -97.71700000000001,5,32
215,4241,30.284000000000002 -97.751,5,21
216,4241,30.314 -97.994,14,77
217,4638,30.401999999999997 -97.721,13,9
218,4638,30.296 -97.721,5,20
219,4638,30.225 -97.79,12,26
220,4638,30.248 -97.77,1,72
221,4753,30.252 -97.723,17,8
222,4753,30.229 -97.8,12,24
223,1454,30.266 -97.74600000000001,8,9
224,1454,30.26 -97.738,8,10
225,1454,30.288 -97.745,5,13
226,1454,30.274 -97.75299999999999,8,20
227,1454,30.284000000000002 -97.743,5,21
228,1454,30.203000000000003 -97.666,3,63
229,1454,30.209 -97.697,3,65
230,1454,30.266 -97.73700000000001,8,66
231,3554,30.215 -97.749,1,15
232,4781,30.267 -97.73899999999999,8,9
233,4781,30.303 -97.729,5,17
234,4781,30.337 -97.70299999999999,11,21
235,4781,30.269000000000002 -97.74700000000001,8,92
236,1259,30.578000000000003 -97.861,7,9
237,1259,30.266 -97.73899999999999,8,16
238,4840,30.404 -97.71,13,10
239,4840,30.26 -97.756,8,16
240,3521,30.203000000000003 -97.666,3,9
241,3521,30.265 -97.749,8,17
242,3521,30.305 -97.73,5,23
243,2747,30.276 -97.68,17,9
244,2747,30.346 -97.728,11,16
245,3475,30.271 -97.734,8,9
246,3475,30.296 -97.71799999999999,5,13
247,3475,30.354 -97.75299999999999,19,15
248,3475,30.345 -97.729,11,16
249,3475,30.339000000000002 -97.73,11,19
250,4119,30.338 -97.647,11,22
251,3475,30.271 -97.729,8,24
252,3475,30.285 -97.775,8,25
253,3475,30.25 -97.76700000000001,1,26
254,3475,30.285 -97.743,5,27
255,3475,30.261999999999997 -97.742,8,27
256,3475,30.197 -97.76799999999999,18,29
257,3421,30.53 -97.816,7,10
258,3421,30.285 -97.71700000000001,5,13
259,3421,30.211 -97.75399999999999,1,16
260,3421,30.235 -97.78,12,26
261,2377,30.351999999999997 -97.779,19,11
262,3556,30.156 -97.801,18,15
263,3556,30.26 -97.738,8,86
264,3047,30.453000000000003 -97.68299999999999,4,11
265,3047,30.259 -97.678,17,49
266,3047,30.427 -97.74600000000001,2,58
267,3047,30.24 -97.788,12,63
268,2648,30.259 -97.74799999999999,8,11
269,2648,30.268 -97.741,8,22
270,2648,30.206999999999997 -97.756,18,30
271,2648,30.203000000000003 -97.667,3,39
272,2648,30.291999999999998 -97.723,5,43
273,2648,30.401999999999997 -97.706,13,87
274,1779,30.386999999999997 -97.73700000000001,2,14
275,1779,30.448 -97.804,16,63
276,2782,30.406 -97.851,6,68
277,1779,30.432 -97.745,2,78
278,1779,30.285 -97.74799999999999,5,93
279,1780,30.24 -97.71600000000001,17,19
280,3934,30.349 -97.75200000000001,19,20
281,4507,30.268 -97.73700000000001,8,19
282,4644,30.399 -97.725,13,15
283,4644,30.331999999999997 -97.56200000000001,9,17
284,4017,30.250999999999998 -97.757,1,15
285,4017,30.252 -97.891,10,21
286,4017,30.246 -97.751,1,57
287,4119,30.255 -97.74700000000001,8,16
288,4119,30.267 -97.73700000000001,8,22
289,4119,30.278000000000002 -97.75399999999999,8,67
290,3734,30.263 -97.715,17,18
291,3734,30.238000000000003 -97.71700000000001,17,24
292,3734,30.176 -97.765,18,27
293,3333,30.259 -97.74700000000001,8,35
294,3333,30.32 -97.96799999999999,14,46
295,3848,30.506 -97.686,4,19
296,3848,30.478 -97.551,9,27
297,3848,30.221999999999998 -97.74700000000001,1,39
298,3945,30.267 -97.73700000000001,8,24
299,3945,30.291 -97.76700000000001,5,28
300,3945,30.256999999999998 -97.75,8,87
301,3956,30.288 -97.73899999999999,5,23
302,3956,30.256999999999998 -97.75,8,29
303,3956,30.255 -97.71600000000001,17,36
304,3956,30.203000000000003 -97.66799999999999,3,53
305,47,30.24 -97.713,17,28
306,47,30.203000000000003 -97.66799999999999,3,71
307,47,30.346999999999998 -97.72,11,81
308,3369,30.203000000000003 -97.667,3,38
309,3369,30.203000000000003 -97.667,3,45
310,2670,30.203000000000003 -97.666,3,35
311,2670,30.281999999999996 -97.74,5,59
312,1549,30.289 -97.74,5,54
313,3740,30.29 -97.751,5,34
314,2475,30.203000000000003 -97.66799999999999,3,38
315,2475,30.403000000000002 -97.723,13,55
316,2475,30.195999999999998 -97.694,3,63
317,2475,30.264 -97.744,8,71
318,2475,30.392 -97.75,2,89
319,2475,30.498 -97.656,4,91
320,147,30.203000000000003 -97.667,3,42
321,147,30.232 -97.723,17,48
322,147,30.214000000000002 -97.695,3,55
323,1523,30.32 -97.96799999999999,14,48
324,2709,30.268 -97.742,8,43
325,2709,30.485 -97.667,4,53
326,1516,30.203000000000003 -97.66799999999999,3,45
327,1516,30.28 -97.76,8,59
328,3183,30.203000000000003 -97.667,3,46
329,3183,30.269000000000002 -97.75,8,48
330,3183,30.471999999999998 -97.677,4,57
331,287,30.234 -97.801,12,52
332,287,30.483 -97.68700000000001,4,57
333,287,30.333000000000002 -97.76,19,68
334,3505,30.203000000000003 -97.667,3,46
335,3505,30.203000000000003 -97.667,3,48
336,3505,30.401 -97.655,13,52
337,2312,30.203000000000003 -97.667,3,60
338,2312,30.25 -97.75,1,72
339,2312,30.203000000000003 -97.667,3,83
340,3960,30.203000000000003 -97.667,3,51
341,3960,30.291999999999998 -97.723,5,59
342,3049,30.355999999999998 -97.8,19,48
343,3049,30.319000000000003 -97.70100000000001,11,50
344,3049,30.35 -97.75200000000001,19,53
345,3049,30.374000000000002 -97.62200000000001,9,84
346,3049,30.25 -97.725,17,88
347,3049,30.27 -97.75399999999999,8,90
348,3287,30.215 -97.749,1,79
349,2033,30.215999999999998 -97.721,17,53
350,2033,30.34 -97.676,11,59
351,2033,30.313000000000002 -97.73100000000001,5,78
352,2033,30.305 -97.785,5,88
353,3843,30.445999999999998 -97.69200000000001,13,52
354,3843,30.41 -97.71799999999999,13,55
355,3843,30.284000000000002 -97.738,5,62
356,3843,30.295 -97.78299999999999,5,76
357,3843,30.408 -97.70299999999999,13,83
358,1854,30.541 -97.821,7,55
359,1854,30.467 -97.804,16,65
360,1854,30.378 -97.714,13,69
361,2227,30.263 -97.786,12,51
362,2227,30.29 -97.738,5,52
363,2227,30.203000000000003 -97.66799999999999,3,59
364,2227,30.203000000000003 -97.666,3,65
365,2227,30.325 -97.74,5,69
366,2227,30.203000000000003 -97.66799999999999,3,85
367,2664,30.275 -97.765,8,51
368,2664,30.269000000000002 -97.757,8,55
369,2664,30.296 -97.741,5,73
370,2664,30.291 -97.85799999999999,10,82
371,2664,30.252 -97.708,17,94
372,1494,30.203000000000003 -97.667,3,52
373,1494,30.273000000000003 -97.766,8,57
374,1494,30.247 -97.757,1,60
375,1494,30.276999999999997 -97.74,8,62
376,1494,30.336 -97.65899999999999,11,69
377,1494,30.267 -97.745,8,81
378,3896,30.398000000000003 -97.709,13,52
379,3896,30.203000000000003 -97.666,3,67
380,3896,30.23 -97.79799999999999,12,76
381,956,30.266 -97.744,8,65
382,3077,30.429000000000002 -97.756,2,52
383,3077,30.203000000000003 -97.667,3,56
384,3077,30.464000000000002 -97.801,16,60
385,3077,30.406999999999996 -97.74700000000001,2,76
386,3077,30.203000000000003 -97.667,3,81
387,956,30.258000000000003 -97.73899999999999,8,69
388,3196,30.408 -97.727,13,53
389,3196,30.264 -97.738,8,59
390,3196,30.252 -97.723,17,63
391,3196,30.278000000000002 -97.719,5,81
392,847,30.234 -97.742,1,55
393,847,30.276999999999997 -97.73700000000001,8,59
394,847,30.203000000000003 -97.666,3,66
395,847,30.203000000000003 -97.666,3,73
396,3487,30.303 -97.741,5,56
397,3487,30.203000000000003 -97.666,3,58
398,3487,30.483 -97.68700000000001,4,66
399,3487,30.346 -97.73,11,81
400,843,30.339000000000002 -97.719,11,56
401,843,30.268 -97.727,8,61
402,843,30.265 -97.743,8,69
403,843,30.203000000000003 -97.66799999999999,3,78
404,4171,30.264 -97.744,8,58
405,4171,30.482 -97.79299999999999,16,80
406,1922,30.203000000000003 -97.667,3,61
407,1922,30.266 -97.735,8,90
408,3439,30.563000000000002 -97.65700000000001,4,56
409,4758,30.203000000000003 -97.666,3,58
410,4758,30.511999999999997 -97.713,4,69
411,4758,30.307 -97.70700000000001,11,85
412,3491,30.186999999999998 -97.705,3,55
413,3491,30.311999999999998 -97.68299999999999,11,67
414,1270,30.346999999999998 -97.803,19,56
415,1270,30.52 -97.83200000000001,7,61
416,1270,30.203000000000003 -97.66799999999999,3,71
417,3667,30.381 -97.71700000000001,13,55
418,3667,30.189 -97.925,0,67
419,3667,30.267 -97.749,8,81
420,3667,30.393 -97.745,2,89
421,4656,30.278000000000002 -97.771,8,58
422,4656,30.291999999999998 -97.743,5,63
423,4656,30.203000000000003 -97.66799999999999,3,68
424,4656,30.255 -97.71700000000001,17,81
425,4656,30.301 -97.829,10,84
426,3041,30.26 -97.74700000000001,8,59
427,3041,30.224 -97.775,1,67
428,3041,30.203000000000003 -97.667,3,76
429,2949,30.269000000000002 -97.743,8,56
430,2949,30.281 -97.738,5,57
431,2949,30.363000000000003 -97.79299999999999,19,61
432,2949,30.284000000000002 -97.734,5,64
433,2949,30.392 -97.75,2,80
434,2949,30.392 -97.738,2,83
435,2949,30.316 -97.742,5,84
436,3709,30.355 -97.714,11,88
437,2954,30.203000000000003 -97.666,3,57
438,3325,30.247 -97.757,1,60
439,3325,30.203000000000003 -97.667,3,68
440,3325,30.39 -97.75299999999999,2,73
441,3273,30.275 -97.801,12,59
442,3273,30.509 -97.68,4,63
443,3273,30.301 -97.694,11,68
444,3273,30.203000000000003 -97.667,3,71
445,3273,30.285 -97.715,5,74
446,3273,30.271 -97.75200000000001,8,79
447,4630,30.302 -97.721,5,62
448,4630,30.256 -97.74799999999999,8,64
449,4630,30.255 -97.71799999999999,17,67
450,4630,30.203000000000003 -97.666,3,70
451,4630,30.336 -97.759,19,74
452,4630,30.281999999999996 -97.757,8,76
453,4630,30.322 -97.73899999999999,5,79
454,4121,30.528000000000002 -97.904,7,71
455,4257,30.203000000000003 -97.66799999999999,3,68
456,4257,30.23 -97.82700000000001,12,80
457,1765,30.203000000000003 -97.667,3,85
458,1719,30.203000000000003 -97.66799999999999,3,72
459,1719,30.239 -97.785,12,79
460,1719,30.269000000000002 -97.75200000000001,8,82
461,1719,30.203000000000003 -97.66799999999999,3,84
462,4860,30.398000000000003 -97.71799999999999,13,76
463,4860,30.229 -97.721,17,88
464,3012,30.245 -97.757,1,74
465,3012,30.26 -97.73899999999999,8,77
466,3249,30.205 -97.665,3,79
467,3249,30.392 -97.75,2,86
468,1801,30.413 -97.74600000000001,2,80
469,1801,30.443 -97.772,16,81
470,1801,30.39 -97.749,2,91
471,2553,30.159000000000002 -97.956,0,82
472,4365,30.241999999999997 -97.72399999999999,17,79
473,4365,30.203000000000003 -97.66799999999999,3,83
474,4365,30.36 -97.885,6,92
